Marca_Temporal,Ciudad,Barrio,Tipo_Vivienda,Integrantes_Familia,Tipo_Mascotas,Perros_Macho,Perros_Hembra,Gatos_Macho,Gatos_Hembra,Mascota_Castrada,Donde_Castracion,Sabe_Castracion_Gratuita,Vacunadas,Desparasitadas,Sabe_Vacunas_Anuales,Como_Viven_Mascotas,Frecuencia_Callejeros,Animal_Perdido_Frecuente,Municipio_Presente,Humano_Responsable,Mascota_Gatos,Mascota_Perros,Vive_Salen_solos_a_la_calle,Vive_Tienen_identificador,Vive_Viven_dentro_de_su_hogar,CastEn_En_forma_particular,CastEn_Municipio,CastEn_No_se_encuentra_castrada.,Mun_Castraciones_Masivas,Mun_Control_de_identificación,Mun_Educación,Mun_No_es_necesaria_la_participación_del_municipio
2026-03-05 21:40:00,San Francisco,Consolata,Casa Propia,2.0,Perros,1.0,,,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,0,1,1,1,1,0
2026-03-11 19:00:05,San Francisco,Independencia,Casa Propia,2.0,Perros,1.0,,,,Si,En forma particular,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Control de identificación;Educación,Si,0,1,0,1,1,1,0,0,0,1,1,0
2026-03-11 21:05:09,San Francisco,Barrio Parque,Casa En Alquiler,3.0,Perros,,1.0,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Educación,Si,0,1,0,0,1,1,0,0,0,0,1,0
2026-03-11 21:05:52,San Francisco,Roca,Casa En Alquiler,2.0,Gatos;Perros,,3.0,3.0,,Si,Municipio,Si,Si,Si,No,Tienen identificador;Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Educación,Si,1,1,0,1,1,0,1,0,1,0,1,0
2026-03-11 21:06:01,San Francisco,Vélez Sársfield,Casa Propia,3.0,Perros,1.0,1.0,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Control de identificación,Si,0,1,0,0,1,1,0,0,0,1,0,0
2026-03-11 21:06:48,San Francisco,El Prado,Casa Propia,2.0,Perros,,1.0,,,Si,En forma particular,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas,Si,0,1,0,1,1,1,0,0,1,0,0,0
2026-03-11 21:08:24,San Francisco,El Prado,Casa Propia,4.0,Gatos;Perros,1.0,1.0,1.0,,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación,Si,1,1,0,0,1,0,1,0,1,1,0,0
2026-03-11 21:08:34,San Francisco,La Florida,Casa Propia,3.0,Perros,,1.0,,,No,No se encuentra castrada.,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,1,1,0,0,1,1,1,1,0
2026-03-11 21:08:41,Frontera,Federal,Casa Propia,2.0,Perros,1.0,2.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación,Si,0,1,0,0,1,0,1,0,1,1,0,0
2026-03-11 21:09:52,San Francisco,Catedral,Casa Propia,2.0,Gatos,1.0,,1.0,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,No es necesaria la participación del municipio,No,1,0,0,0,1,1,0,0,0,0,0,1
2026-03-11 21:10:02,San Francisco,Jardín,Casa Propia,2.0,Gatos,,,,1.0,Si,En forma particular,Si,No,Si,No,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Un Poco,1,0,0,0,1,1,0,0,1,0,1,0
2026-03-11 21:10:16,San Francisco,El Prado,Casa Propia,5.0,Gatos;Perros,,3.0,1.0,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación,Si,1,1,0,0,1,1,0,0,1,1,0,0
2026-03-11 21:11:05,San Francisco,Magdalena I,Casa Propia,3.0,Gatos;Perros,,1.0,2.0,1.0,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos,Castraciones Masivas,Si,1,1,0,0,1,1,0,0,1,0,0,0
2026-03-11 21:11:14,San Francisco,Catedral,Departamento En Alquiler,1.0,Gatos,,,,1.0,Si,En forma particular,Si,No,Si,Si,Viven dentro de su hogar,A Veces,Gatos,Educación,Si,1,0,0,0,1,1,0,0,0,0,1,0
2026-03-11 21:12:49,San Francisco,Vélez Sársfield,Casa Propia,5.0,Perros,2.0,1.0,,,Si,En forma particular,Si,Si,Si,Si,Salen solos a la calle;Viven dentro de su hogar,A Veces,Perros,Educación,Si,0,1,1,0,1,1,0,0,0,0,1,0
2026-03-11 21:13:38,San Francisco,La Florida,Casa Propia,4.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas,Si,0,1,0,0,1,0,1,0,1,0,0,0
2026-03-11 21:14:33,San Francisco,El Prado,Casa Propia,4.0,Perros,2.0,3.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,1,0,1,1,1,0
2026-03-11 21:17:54,San Francisco,Catedral,Casa En Alquiler,2.0,Gatos;Perros,1.0,1.0,,1.0,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Control de identificación,Si,1,1,0,0,1,0,1,0,0,1,0,0
2026-03-11 21:21:37,San Francisco,La Milka,Casa Propia,4.0,Gatos;Perros,,1.0,,1.0,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación,Si,1,1,0,0,1,0,1,0,1,1,0,0
2026-03-11 21:22:10,San Francisco,Independencia,Casa Propia,3.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Control de identificación,Si,0,1,0,0,1,0,1,0,1,1,0,0
